Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-188.22	-188.22	-184.0	-1.6987674	1.887258	1.5978225	-14.094481	-1.6983407	0.1	10000	67.20685982704163
1	-187.3	-187.3	-172.3	-3.5101814	4.3556395	2.072393	-22.110508	-3.5101593	0.3	20000	127.79856967926025
2	-180.38	-180.38	-197.1	-5.1229086	6.8284063	2.1871383	-33.843792	-5.1230235	0.1	30000	186.7837860584259
3	-179.5	-179.5	-174.7	-6.539214	8.948676	2.639207	-38.69257	-6.539296	0.1	40000	253.38591051101685
4	-178.8	-178.8	-188.6	-7.6272583	10.799417	2.4435186	-42.278484	-7.6274505	0.1	50000	321.3529260158539
5	-190.3	-190.3	-144.0	-8.496513	12.34958	3.6153617	-46.42365	-8.496574	0.3	60000	387.39643955230713
6	-190.74	-190.74	-200.0	-9.258553	13.679164	4.4695845	-49.69136	-9.258729	0.0	70000	452.1890962123871
7	-177.54	-177.54	-165.90001	-9.892526	14.846673	5.3303437	-52.570488	-9.892737	0.2	80000	509.1403911113739
8	-167.56	-167.56	-156.2	-10.230391	15.651946	3.9025447	-58.151466	-10.230332	0.3	90000	565.5832302570343
9	-176.36	-176.36	-200.0	-10.568465	16.421055	3.4672399	-59.88579	-10.568812	0.0	100000	626.227480173111
10	-171.9	-171.9	-152.59999	-10.838958	16.988558	4.777019	-61.891193	-10.838992	0.3	110000	693.3064813613892
11	-180.0	-180.0	-123.3	-11.041978	17.53371	5.295063	-62.57022	-11.042004	0.5	120000	760.7636461257935
12	-174.62	-174.62	-143.40001	-11.126476	17.997198	4.7644343	-63.756886	-11.1266165	0.3	130000	830.0876319408417
13	-177.88	-177.88	-182.8	-11.124479	18.325193	4.6407437	-65.00516	-11.124569	0.2	140000	906.7374000549316
14	-174.3	-174.3	-137.90001	-11.140437	18.58924	2.5521474	-67.01521	-11.140424	0.4	150000	978.5780923366547
15	-177.02	-177.02	-135.8	-11.115801	18.797205	5.3290434	-66.15734	-11.115881	0.4	160000	1049.8355493545532
16	-182.24	-182.24	-150.59999	-11.16668	19.043339	4.552279	-65.57889	-11.166653	0.3	170000	1121.1882662773132
17	-184.8	-184.8	-131.40001	-11.163061	19.210035	8.949015	-66.58474	-11.163169	0.5	180000	1191.8887085914612
18	-172.0	-172.0	-155.0	-11.157304	19.375885	6.1311736	-68.32709	-11.157365	0.4	190000	1263.3253993988037
19	-188.58	-188.58	-173.2	-11.098614	19.460386	5.6933074	-67.40976	-11.098536	0.3	200000	1332.5715091228485
20	-176.5	-176.5	-188.4	-11.053186	19.610859	2.7952936	-69.41806	-11.0533495	0.2	210000	1406.1936490535736
21	-190.02	-190.02	-141.8	-10.971584	19.66588	0.22705808	-69.60317	-10.971531	0.4	220000	1480.0620415210724
22	-183.02	-183.02	-149.09999	-10.964371	19.768814	0.3138899	-71.496124	-10.9643955	0.4	230000	1551.9349744319916
23	-170.74	-170.74	-146.0	-10.91635	19.842798	0.32642296	-69.32884	-10.916434	0.5	240000	1625.1704103946686
24	-167.64	-167.64	-155.3	-10.772119	19.786263	0.28631666	-71.80173	-10.772195	0.4	250000	1693.0077764987946
25	-178.58	-178.58	-125.2	-10.670801	19.767002	0.20281252	-66.065506	-10.670823	0.6	260000	1774.2623505592346
26	-181.9	-181.9	-200.0	-10.565118	19.76793	0.15322137	-66.56079	-10.565082	0.0	270000	1868.740485906601
27	-175.8	-175.8	-120.4	-10.529222	19.763605	0.34212327	-65.521126	-10.529278	0.7	280000	1944.0934994220734
28	-180.7	-180.7	-171.0	-10.505987	19.809532	0.20782727	-65.235054	-10.506063	0.2	290000	2017.7973866462708
29	-194.86	-194.86	-122.2	-10.4208	19.785082	0.28194138	-64.32696	-10.420788	0.6	300000	2099.3886213302612
30	-173.0	-173.0	-174.7	-10.411039	19.843723	0.33444226	-64.77642	-10.411083	0.3	310000	2171.9731290340424
31	-193.02	-193.02	-157.0	-10.273495	19.770926	0.24012718	-64.48352	-10.273429	0.5	320000	2253.2666697502136
32	-169.14	-169.14	-159.2	-10.256047	19.771278	0.35452577	-65.94326	-10.256113	0.3	330000	2327.77556347847
33	-178.56	-178.56	-159.59999	-10.214861	19.763136	0.41201508	-65.429924	-10.214831	0.4	340000	2390.4081592559814
34	-169.72	-169.72	-186.7	-10.1579075	19.70977	0.27683315	-66.095604	-10.157819	0.2	350000	2451.5370812416077
